water_year,water_year_label,opening_allocation_pct,final_allocation_pct,carryover_allowed,entitlement_class,region,notes,source
2002,2002-03,100,100,N,Class_3_High_Security,SA_River_Murray,pre_drought,SA_DEW_environment.sa.gov.au_current-allocations
2003,2003-04,100,100,N,Class_3_High_Security,SA_River_Murray,pre_drought,SA_DEW_environment.sa.gov.au_current-allocations
2004,2004-05,80,85,N,Class_3_High_Security,SA_River_Murray,early_drought,SA_DEW_environment.sa.gov.au_current-allocations
2005,2005-06,52,58,N,Class_3_High_Security,SA_River_Murray,drought,SA_DEW_environment.sa.gov.au_current-allocations
2006,2006-07,43,43,N,Class_3_High_Security,SA_River_Murray,millennium_drought,SA_DEW_environment.sa.gov.au_current-allocations
2007,2007-08,25,32,N,Class_3_High_Security,SA_River_Murray,millennium_drought_severe,SA_DEW_environment.sa.gov.au_current-allocations
2008,2008-09,31,45,Y,Class_3_High_Security,SA_River_Murray,millennium_drought_end,SA_DEW_environment.sa.gov.au_current-allocations
2009,2009-10,20,68,Y,Class_3_High_Security,SA_River_Murray,drought_partial_recovery,SA_DEW_environment.sa.gov.au_current-allocations
2010,2010-11,100,100,Y,Class_3_High_Security,SA_River_Murray,flood_recovery,SA_DEW_environment.sa.gov.au_current-allocations
2011,2011-12,100,100,Y,Class_3_High_Security,SA_River_Murray,flood_year,SA_DEW_environment.sa.gov.au_current-allocations
2012,2012-13,100,100,Y,Class_3_High_Security,SA_River_Murray,wet,SA_DEW_environment.sa.gov.au_current-allocations
2013,2013-14,100,100,Y,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2014,2014-15,100,100,Y,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2015,2015-16,100,100,Y,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2016,2016-17,100,100,Y,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2017,2017-18,100,100,Y,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2018,2018-19,100,100,Y,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2019,2019-20,100,100,Y,Class_3_High_Security,SA_River_Murray,normal_dry_start,SA_DEW_environment.sa.gov.au_current-allocations
2020,2020-21,100,100,Y,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2021,2021-22,100,100,Y,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2022,2022-23,100,100,N,Class_3_High_Security,SA_River_Murray,normal_carryover_blocked,SA_DEW_environment.sa.gov.au_current-allocations
2023,2023-24,100,100,N,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2024,2024-25,100,100,N,Class_3_High_Security,SA_River_Murray,normal,SA_DEW_environment.sa.gov.au_current-allocations
2025,2025-26,100,100,N,Class_3_High_Security,SA_River_Murray,normal_5th_consecutive_100pct,SA_DEW_environment.sa.gov.au_current-allocations
