water_year,region,annual_vwap_price_ml,price_scenario,data_quality,source
2002,SA_Murray,18,pre_market_development,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2003,SA_Murray,25,normal,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2004,SA_Murray,65,early_drought,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2005,SA_Murray,120,drought,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2006,SA_Murray,180,drought_severe,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2007,SA_Murray,320,millennium_drought,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2008,SA_Murray,450,millennium_drought_peak,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2009,SA_Murray,218,partial_recovery,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2010,SA_Murray,45,flood_year,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2011,SA_Murray,29,flood_year_low,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2012,SA_Murray,38,low_price,estimated_ABARES,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2013,SA_Murray,52,rising,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2014,SA_Murray,65,rising_Ricardo,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2015,SA_Murray,94,SA_Murray_VWAP_Ricardo2024,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2016,SA_Murray,85,slight_fall,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2017,SA_Murray,110,rising,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2018,SA_Murray,145,rising_Ricardo,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2019,SA_Murray,420,drought_spike,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2020,SA_Murray,380,drought_sustained,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2021,SA_Murray,180,recovery,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2022,SA_Murray,60,wet_year_collapse,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2023,SA_Murray,29,surplus,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2024,SA_Murray,94,SA_Murray_VWAP_Ricardo2024,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
2025,SA_Murray,153,SA_Murray_VWAP_Ricardo2025_89pct_increase,verified,Ricardo_WaterMarketsReport_ABARES_MDB_Dataset
