OBJECTID,Region,LANSLU,Soil_Subgroup,Shape_Area,Shape_Length,Primary_Soil_Classification,Primary_Soil_Value,Secondary_Soil_Classification,Secondary_Soil_Value,Tertiary_Soil_Classification,Tertiary_Soil_Value,Total_Soil_Classifications_Count,Total_Soil_Classification_Value
13101,MID MURRAY COUNCIL,BCPKFB,A6,3.96E-05,0.029773053,A6,35,A4,30,A3,20,4,100
13102,MID MURRAY COUNCIL,BCPKFA,A6,0.000126664,0.054225136,A6,35,A4,30,A3,20,4,100
13172,MID MURRAY COUNCIL,WOGJLp,D4,0.000332683,0.229707589,D4,65,A6,20,D3,15,3,100
13213,MID MURRAY COUNCIL,BCPKKE,A6,3.84E-05,0.032147832,A6,55,A5,45,None,0,2,100
13226,MID MURRAY COUNCIL,WOGJLu,D4,5.86E-05,0.040515579,D4,65,A6,20,D3,15,3,100
13252,MID MURRAY COUNCIL,EUVKFU,A6,0.001219038,0.304556224,A6,31.25,A4,22.5,D4,16.25,5,100
13296,MID MURRAY COUNCIL,EUVJLU,D4,1.76E-05,0.022055584,D4,68,A6,25.25,A4,6.75,3,100
13308,MID MURRAY COUNCIL,EUVJLU,D4,1.69E-05,0.017070038,D4,68,A6,25.25,A4,6.75,3,100
13310,MID MURRAY COUNCIL,EUVJLU,D4,1.42E-05,0.01472786,D4,68,A6,25.25,A4,6.75,3,100
13362,MID MURRAY COUNCIL,EUVJLU,D4,1.58E-05,0.020820308,D4,68,A6,25.25,A4,6.75,3,100
13366,MID MURRAY COUNCIL,EUVJLp,D4,6.53E-05,0.04623194,D4,48.75,A6,28.75,A4,11.25,4,100
13422,MID MURRAY COUNCIL,EUVJLp,D4,0.000461154,0.39154451,D4,48.75,A6,28.75,A4,11.25,4,100
13446,MID MURRAY COUNCIL,WOGJLP,D4,5.49E-05,0.03368042,D4,65,A6,20,D3,15,3,100
13496,MID MURRAY COUNCIL,BCPKFI,A4,0.000341789,0.231355572,A4,32.25,A6,29.75,A3,17,5,100
13527,MID MURRAY COUNCIL,EUVKFB,A6,3.13E-05,0.02821379,A6,35,A4,30,A3,20,4,100
13549,MID MURRAY COUNCIL,EUVJLp,D4,9.25E-05,0.077093251,D4,48.75,A6,28.75,A4,11.25,4,100
13555,MID MURRAY COUNCIL,WOGIVg,A5,0.00078101,0.182017071,A5,45,C1,35,A4,20,3,100
13596,MID MURRAY COUNCIL,WOGIVh,A5,9.35E-05,0.063684894,A5,45,C1,35,A4,20,3,100
13649,MID MURRAY COUNCIL,BCPKFA,A6,8.77E-05,0.044679889,A6,35,A4,30,A3,20,4,100
13666,MID MURRAY COUNCIL,WOGIVA,A5,0.000925291,0.320131768,A5,38.25,C1,29.75,A4,23.75,4,100
13677,MID MURRAY COUNCIL,EUVJPo,D4,0.001277639,0.418775789,D4,55,A6,45,None,0,2,100
13703,MID MURRAY COUNCIL,EUVJLp,D4,0.000170432,0.075543142,D4,48.75,A6,28.75,A4,11.25,4,100
13725,MID MURRAY COUNCIL,WOGJLP,D4,0.000140058,0.044355559,D4,65,A6,20,D3,15,3,100
13767,MID MURRAY COUNCIL,EUVJLU,D4,1.07E-05,0.013305413,D4,68,A6,25.25,A4,6.75,3,100
13781,MID MURRAY COUNCIL,BCPXKG,A3,0.001279562,0.33907589,A3,100,None,0,None,0,1,100
13791,MID MURRAY COUNCIL,MMAJLU,D4,5.58E-05,0.038686891,D4,65,A6,20,D3,15,3,100
13793,MID MURRAY COUNCIL,WOGJLp,D4,0.000101788,0.04762971,D4,65,A6,20,D3,15,3,100
13819,MID MURRAY COUNCIL,EUVJLp,D4,6.43E-06,0.010273225,D4,48.75,A6,28.75,A4,11.25,4,100
13820,MID MURRAY COUNCIL,EUVJLp,D4,8.58E-06,0.011831596,D4,48.75,A6,28.75,A4,11.25,4,100
13848,MID MURRAY COUNCIL,EBAIAA,A6,0.002701188,0.742903024,A6,35,A5,30,D4,20,4,100
13849,MID MURRAY COUNCIL,TIGQLA,B2,1.76E-06,0.009261959,B2,41.25,A4,33.75,A5,16.25,5,100
13860,MID MURRAY COUNCIL,MMAJLU,D4,2.34E-05,0.0244704,D4,65,A6,20,D3,15,3,100
13867,MID MURRAY COUNCIL,MMAJLU,D4,4.79E-05,0.048915331,D4,65,A6,20,D3,15,3,100
13905,MID MURRAY COUNCIL,TIGIAA,A6,1.99E-05,0.019648045,A6,35,A3,30,D4,20,4,100
13907,MID MURRAY COUNCIL,FLRQHA,B2,2.18E-06,0.008333834,B2,100,None,0,None,0,1,100
13909,MID MURRAY COUNCIL,MMAQIA,B2,1.58E-05,0.018506739,B2,55,A4,45,None,0,2,100
13913,MID MURRAY COUNCIL,BCPXUW,A4,8.39E-05,0.067302301,A4,100,None,0,None,0,1,100
13914,MID MURRAY COUNCIL,BCPQHH,B2,0.000178608,0.078486737,B2,100,None,0,None,0,1,100
