water_market_price_ml,yield_t_ha,input_cost_ha,water_alloc_pct,rainfall_mm_annual,scenario_label,net_margin_ha,scenario_label_encoded
218.0,8.5,5500.0,75.0,213.0,millennium_drought_end,-1120.0,13
340.0,7.8,5700.0,68.0,189.0,drought,-1660.0,6
45.0,9.2,5600.0,100.0,287.0,flood_year_low_price,-776.0,11
29.0,10.1,5650.0,100.0,312.0,high_alloc_low_price,-220.0,12
38.0,9.6,5800.0,100.0,241.0,normal,-268.0,14
52.0,9.1,5900.0,100.0,226.0,normal,-416.0,14
65.0,8.8,6000.0,100.0,218.0,prices_declining,-704.0,21
94.0,8.5,6100.0,100.0,198.0,prices_declining,-975.0,21
85.0,9.0,6200.0,100.0,209.0,oversupply_building,-855.0,16
110.0,9.3,6300.0,100.0,221.0,normal,-600.0,14
145.0,8.9,6500.0,100.0,197.0,water_cost_rising,-685.0,26
420.0,8.2,7000.0,100.0,172.0,drought_water_spike,-1740.0,10
380.0,8.0,7200.0,100.0,185.0,drought_china_tariffs,-2024.0,7
180.0,9.8,7400.0,100.0,247.0,post_drought_oversupply,-1876.0,18
60.0,10.2,7600.0,100.0,268.0,oversupply_crisis,-2060.0,17
29.0,8.5,7800.0,100.0,254.0,crisis_low_crush,-2175.0,5
94.0,7.9,8000.0,100.0,219.0,crisis_2024,-2590.0,3
153.0,8.1,8200.0,100.0,208.0,crisis_2025,-2285.0,4
100.0,8.5,8200.0,100.0,220.0,normal_year,-6676.0,15
200.0,7.8,8500.0,100.0,180.0,drought_mild,-7570.0,8
450.0,6.5,9000.0,85.0,145.0,drought_severe,-9318.0,9
600.0,4.2,9500.0,50.0,130.0,water_cut_50pct,-10948.0,27
900.0,2.5,9800.0,30.0,115.0,water_cut_70pct,-12716.0,28
80.0,8.5,8200.0,100.0,225.0,price_collapse,-8227.0,19
90.0,9.0,8200.0,100.0,230.0,price_recovery,-5604.0,20
800.0,3.0,10000.0,50.0,130.0,bankruptcy_risk,-12856.0,1
120.0,0.0,9000.0,100.0,210.0,transition_olive_yr1,-9920.0,23
120.0,0.0,6500.0,100.0,210.0,transition_olive_yr5,12580.0,24
120.0,0.0,5900.0,100.0,210.0,transition_olive_yr7,55680.0,25
120.0,3.2,7500.0,100.0,210.0,almond_mature,36580.0,0
110.0,0.0,8500.0,100.0,210.0,citrus_mature,65612.0,2
105.0,0.0,7800.0,100.0,210.0,table_grapes_mature,33328.0,22
